CARGO;FICHA;PROCESO(S);SUBPROCESOS
GESTOR IV;AT-OP-3031;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR IV;AT-OP-3032;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR III;AT-OP-3033;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR III;AT-OP-3034;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR III;AT-OP-3035;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR III;AT-OP-3036;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR II;AT-OP-3037;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
GESTOR I;AT-OP-3038;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA V;AT-OP-2025;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA IV;AT-OP-2027;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA III;AT-OP-2029;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
ANALISTA II;AT-OP-2032;MISIONAL: Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
INSPECTOR IV;AF-CP-3001;Administrativo y Financiero;Compras y contratos
GESTOR IV;AF-CP-3002;Administrativo y Financiero;Compras y contratos
GESTOR III;AF-CP-3003;Administrativo y Financiero;Compras y contratos
ANALISTA V;AF-FP-2010;Administrativo y Financiero;Función pagadora
ANALISTA IV;AF-FP-2011;Administrativo y Financiero;Función pagadora
ANALISTA III;AF-FP-2012;Administrativo y Financiero;Función pagadora
ANALISTA II;AF-FP-2013;Administrativo y Financiero;Función pagadora
ANALISTA I;AF-FP-2014;Administrativo y Financiero;Función pagadora
GESTOR IV;AF-FP-3004;Administrativo y Financiero;Función pagadora
GESTOR II;AF-FP-3009;Administrativo y Financiero;Función pagadora
INSPECTOR II;AF-FP-3001;Administrativo y Financiero;Función pagadora
INSPECTOR I;AF-FP-3002;Administrativo y Financiero;Función pagadora
GESTOR IV;AF-FP-3003;Administrativo y Financiero;Función pagadora
GESTOR III;AF-FP-3005;Administrativo y Financiero;Función pagadora
GESTOR III;AF-FP-3006;Administrativo y Financiero;Función pagadora
GESTOR II;AF-FP-3007;Administrativo y Financiero;Función pagadora
GESTOR II;AF-FP-3008;Administrativo y Financiero;Función pagadora
ANALISTA V;AF-LF-2008;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
ANALISTA IV;AF-LF-2009;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
ANALISTA III;AF-LF-2010;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
ANALISTA II;AF-LF-2011;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
ANALISTA I;AF-LF-2012;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
INSPECTOR III;AF-LF-3001;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
INSPECTOR II;AF-LF-3002;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
INSPECTOR I;AF-LF-3003;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
GESTOR IV;AF-LF-3004;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
GESTOR III;AF-LF-3005;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
GESTOR II;AF-LF-3006;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
GESTOR I;AF-LF-3007;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos
GESTOR IV;AF-PR-3001;Administrativo y Financiero;Función pagadora, función recaudadora
GESTOR III;AF-PR-3002;Administrativo y Financiero;Función pagadora, función recaudadora
GESTOR II;AF-PR-3003;Administrativo y Financiero;Función pagadora, función recaudadora
GESTOR I;AF-PR-3004;Administrativo y Financiero;Función pagadora, función recaudadora
ANALISTA IV;AF-RA-2005;Administrativo y Financiero;Recursos administrativos
ANALISTA I;AF-RA-2007;Administrativo y Financiero;Recursos administrativos
INSPECTOR II;AF-RA-3001;Administrativo y Financiero;Recursos administrativos
GESTOR II;AF-RA-3004;Administrativo y Financiero;Recursos administrativos
INSPECTOR II;AF-RA-3002;Administrativo y Financiero;Recursos administrativos
GESTOR III;AF-RA-3003;Administrativo y Financiero;Recursos administrativos
FACILITADOR IV;AF-RA-1008;Administrativo y Financiero;Recursos administrativos
FACILITADOR III;AF-RA-1009;Administrativo y Financiero;Recursos administrativos
FACILITADOR III;AF-RA-1010;Administrativo y Financiero;Recursos administrativos
ANALISTA V;AT-FL-2009;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA IV;AT-FL-2010;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA III;AT-FL-2011;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA II;AT-FL-2012;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA I;AT-FL-2013;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR IV;AT-FL-3001;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR III;AT-FL-3002;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR II;AT-FL-3003;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR I;AT-FL-3004;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR IV;AT-FL-3005;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR III;AT-FL-3006;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR II;AT-FL-3007;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR I;AT-FL-3008;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR IV;AT-RP-3001;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
INSPECTOR III;AT-RP-3002;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
INSPECTOR II;AT-RP-3003;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
INSPECTOR I;AT-RP-3004;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
GESTOR IV;AT-RP-3005;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
GESTOR III;AT-RP-3006;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
GESTOR II;AT-RP-3007;MISIONAL: Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Gestión del riesgo y programas
ANALISTA V;CC-AU-2009;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA IV;CC-AU-2010;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA III;CC-AU-2011;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA II;CC-AU-2012;Cercanía con el ciudadano;Asistencia al usuario
ANALISTA I;CC-AU-2013;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR IV;CC-AU-3001;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR III;CC-AU-3002;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR II;CC-AU-3003;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR I;CC-AU-3004;Cercanía con el ciudadano;Asistencia al usuario
GESTOR IV;CC-AU-3005;Cercanía con el ciudadano;Asistencia al usuario
GESTOR III;CC-AU-3006;Cercanía con el ciudadano;Asistencia al usuario
GESTOR II;CC-AU-3007;Cercanía con el ciudadano;Asistencia al usuario
GESTOR I;CC-AU-3008;Cercanía con el ciudadano;Asistencia al usuario
INSPECTOR II;CC-DC-3001;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR IV;CC-DC-3002;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR III;CC-DC-3003;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
GESTOR II;CC-DC-3004;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
ANALISTA II;CC-DC-2005;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
INSPECTOR IV;CT-CR-3001;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR III;CT-CR-3002;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR II;CT-CR-3003;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
INSPECTOR I;CT-CR-3004;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR IV;CT-CR-3005;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR III;CT-CR-3006;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR II;CT-CR-3007;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
GESTOR I;CT-CR-3008;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA V;CT-CR-2009;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA IV;CT-CR-2010;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA III;CT-CR-2011;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA II;CT-CR-2012;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ANALISTA I;CT-CR-2013;MISIONAL: Cumplimiento de obligaciones tributarias;Administración de cartera, Recaudo-Devoluciones
ASESOR III;DG-LN-4001;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ASESOR II;DG-LN-4002;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ASESOR I;DG-LN-4003;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;DG-LN-1009;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;DG-LN-1010;Administrativo y Financiero;Recursos administrativos
FACILITADOR III;DG-LN-1011;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;DG-LN-1012;Administrativo y Financiero;Recursos administrativos
GESTOR III;DG-LN-3004;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR I;DG-LN-3005;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA IV;DG-LN-2006;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA III;DG-LN-2007;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
ANALISTA II;DG-LN-2008;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
GESTOR IV;DS-SC-3001;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR III;DS-SC-3002;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR II;DS-SC-3003;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
GESTOR I;DS-SC-3004;Administrativo y Financiero;Recursos administrativos, operación logística, compras y contratos y función pagadora
INSPECTOR IV;IT-GA-3002;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR III;IT-GA-3004;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR II;IT-GA-3006;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR I;IT-GA-3008;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR IV;IT-GA-3010;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR III;IT-GA-3012;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR II;IT-GA-3014;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR I;IT-GA-3016;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR IV;IT-GA-3001;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR III;IT-GA-3003;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR II;IT-GA-3005;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR I;IT-GA-3007;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR IV;IT-GA-3009;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR III;IT-GA-3011;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR II;IT-GA-3013;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
GESTOR I;IT-GA-3015;Información, Innovación y Tecnología;Gobernanza de datos, analítica y estudios económicos 
INSPECTOR IV;PC-CO-3001;Planeación, Estrategia y Control;Comunicaciones
INSPECTOR II;PC-CO-3002;Planeación, Estrategia y Control;Comunicaciones
GESTOR IV;PC-CO-3004;Planeación, Estrategia y Control;Comunicaciones
GESTOR II;PC-CO-3005;Planeación, Estrategia y Control;Comunicaciones
GESTOR I;PC-CO-3006;Planeación, Estrategia y Control;Comunicaciones
ANALISTA IV;PC-CO-2007;Planeación, Estrategia y Control;Comunicaciones
ANALISTA II;PC-CO-2008;Planeación, Estrategia y Control;Comunicaciones
ANALISTA V;PC-DE-2003;"Planeación, estrategia y control; Información, Innovación y tecnología; cumplimiento de obligaciones tributarias; cumplimiento de obligaciones aduaneras y cambiarias";"Gestión del riesgo; Planeación y cumplimiento; Administración del sistema de gestión; Asuntos internacionales; Gobernanza de datos , analítica y estudios económicos; innovación y tecnología"
ANALISTA IV;PC-DE-2004;"Planeación, estrategia y control; Información, Innovación y tecnología; cumplimiento de obligaciones tributarias; cumplimiento de obligaciones aduaneras y cambiarias";"Gestión del riesgo; planeación y cumplimiento; administración del sistema de gestión; asuntos internacionales; gobernanza de datos , analítica y estudios económicos; innovación y tecnología"
ANALISTA III;PC-DE-2005;"Planeación, estrategia y control; Información, Innovación y tecnología; cumplimiento de obligaciones tributarias; cumplimiento de obligaciones aduaneras y cambiarias";"Gestión del riesgo; planeación y cumplimiento; administración del sistema de gestión; asuntos internacionales; gobernanza de datos , analítica y estudios económicos; innovación y tecnología"
ANALISTA II;PC-DE-2006;"Planeación, estrategia y control; Información, Innovación y tecnología; cumplimiento de obligaciones tributarias; cumplimiento de obligaciones aduaneras y cambiarias";"Gestión del riesgo; planeación y cumplimiento; administración del sistema de gestión; asuntos internacionales; gobernanza de datos , analítica y estudios económicos; innovación y tecnología"
ANALISTA I;PC-DE-2007;"Planeación, estrategia y control; Información, Innovación y tecnología; cumplimiento de obligaciones tributarias; cumplimiento de obligaciones aduaneras y cambiarias";"Gestión del riesgo; planeación y cumplimiento; administración del sistema de gestión; asuntos internacionales; gobernanza de datos , analítica y estudios económicos; innovación y tecnología"
INSPECTOR IV;PC-DE-3001;"Planeación, estrategia y control; Información, innovación y tecnología";"Planeación y cumplimiento; Administración del sistema de gestión; Gobernanza de datos, analítica y estudios económicos; Innovación y tecnología"
INSPECTOR III;PC-DE-3002;"Planeación, estrategia y control; Información, innovación y tecnología";"Planeación y cumplimiento; Administración del sistema de gestión; Gobernanza de datos, analítica y estudios económicos; Innovación y tecnología"
ANALISTA V;PC-GJ-2010;Planeación, Estrategia y Control;Gestión jurídica
ANALISTA IV;PC-GJ-2011;Planeación, Estrategia y Control;Gestión jurídica
ANALISTA III;PC-GJ-2012;Planeación, Estrategia y Control;Gestión jurídica
ANALISTA II;PC-GJ-2013;Planeación, Estrategia y Control;Gestión jurídica
ANALISTA I;PC-GJ-2014;Planeación, Estrategia y Control;Gestión jurídica
GESTOR III;PC-GJ-3007;Planeación, Estrategia y Control;Gestión jurídica
GESTOR IV;PC-GJ-3005;Planeación, Estrategia y Control;Gestión jurídica
GESTOR III;PC-GJ-3006;Planeación, Estrategia y Control;Gestión jurídica
GESTOR II;PC-GJ-3008;Planeación, Estrategia y Control;Gestión jurídica
GESTOR I;PC-GJ-3009;Planeación, Estrategia y Control;Gestión jurídica
INSPECTOR IV;PC-GJ-3001;Planeación, Estrategia y Control;Gestión jurídica
INSPECTOR III;PC-GJ-3002;Planeación, Estrategia y Control;Gestión jurídica
INSPECTOR II;PC-GJ-3003;Planeación, Estrategia y Control;Gestión jurídica
INSPECTOR I;PC-GJ-3004;Planeación, Estrategia y Control;Gestión jurídica
INSPECTOR III;PC-PS-3001;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
INSPECTOR II;PC-PS-3002;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
INSPECTOR I;PC-PS-3003;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
GESTOR IV;PC-PS-3004;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
GESTOR III;PC-PS-3005;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
GESTOR II;PC-PS-3006;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
GESTOR I;PC-PS-3007;Planeación, Estrategia y Control;Planeación y cumplimiento, administración del sistema de gestión
ANALISTA V;TP-DE-2009;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
ANALISTA IV;TP-DE-2010;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
ANALISTA III;TP-DE-2011;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
ANALISTA II;TP-DE-2012;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
ANALISTA I;TP-DE-2013;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR IV;TP-DE-3001;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR III;TP-DE-3002;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR II;TP-DE-3003;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR I;TP-DE-3004;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
GESTOR IV;TP-DE-3005;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
GESTOR III;TP-DE-3006;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
GESTOR II;TP-DE-3007;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
GESTOR I;TP-DE-3008;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;TP-DE-1014;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;TP-DE-1015;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;TP-DE-1016;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR I;TP-DE-1017;Todos los procesos;Todos los subprocesos asociados al o los proceso(s)
DEFENSOR DEL CONTRIBUYENTE Y DEL USUARIO ADUANERO DELEGADO;DR-LN-5035;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
DEFENSOR DEL CONTRIBUYENTE Y DEL USUARIO ADUANERO;DR-LN-5009;Cercanía con el ciudadano;Defensoría del contribuyente y usuario aduanero.
DIRECTOR;DR-LN-5008;Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
DIRECTOR;DR-LN-5002;Cumplimiento de obligaciones aduaneras y cambiarias;Operación aduanera.
DIRECTOR;DR-LN-5004;"Cumplimiento de obligaciones tributarias; Cercanía con el ciudadano; Administrativo y financiero";"Asistencia al usuario; Administración de cartera; Recaudo, devoluciones; factura electrónica y servicios digitales; función recaudadora."
DIRECTOR;DR-LN-5003;"Administrativo y financiero; Talento humano ";"Gestión del Empleo; Desarrollo del Talento Humano"
DIRECTOR;DR-LN-5005;Planeación, Estrategia y Control;Gestión jurídica
DIRECTOR;DR-LN-5006;"Información, innovación y tecnología; Planeación, estrategia y control; Cumplimiento de obligaciones tributarias; Cumplimiento de obligaciones aduaneras y cambiarias ";"Gobernanza de datos, analítica y estudios económicos; Gestión del riesgo y programas; Administración del sistema de gestión; Planeación y cumplimiento; Operación aduanera."
DIRECTOR;DR-LN-5007;Cumplimiento de obligaciones tributarias, cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
DIRECTOR GENERAL;DR-LN-5001;Los asociados al Despacho de la Dirección General;Todos los subprocesos asociados al o los proceso(s)
DIRECTOR SECCIONAL DELEGADO;DR-LN-5039;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
DIRECTOR SECCIONAL I;DR-LN-5038;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
DIRECTOR SECCIONAL II;DR-LN-5037;Los asociados a la Dirección Seccional;Todos los subprocesos asociados al o los proceso(s)
JEFE DE OFICINA DE SEGURIDAD DE LA INFORMACIÓN;DR-LN-5011;Información, innovación y tecnología;Seguridad de la información
JEFE DE OFICINA DE COMUNICACIONES;DR-LN-5012;Planeación, Estrategia y Control;Comunicaciones
JEFE DE OFICINA DE CONTROL INTERNO;DR-LN-5010;Planeación, Estrategia y Control;Control interno
ANALISTA V;IT-IT-2017;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA IV;IT-IT-2019;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA III;IT-IT-2021;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA II;IT-IT-2023;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA I;IT-IT-2025;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA V;IT-IT-2018;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA IV;IT-IT-2020;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA III;IT-IT-2022;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA II;IT-IT-2024;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA I;IT-IT-2026;Información, innovación y tecnología;Innovación y Tecnología.
ANALISTA V;TH-GH-2011;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA IV;TH-GH-2012;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA IV;TH-GH-2013;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
ANALISTA III;TH-GH-2014;Talento Humano;"Gestión del Empleo; Desarrollo del Talento Humano"
